=,&equals;
\hspace{1em},&emsp;
\hspace{0.5em},&ensp;
\hspace{0.33em},&emsp13;
\hspace{0.25em},&emsp14;
\hphantom{0},&numsp;
"\hphantom{,}",&puncsp;
\hspace{0.167em},&thinsp;
\hspace{1pt},&hairsp;
---,&mdash;
--,&ndash;
-,&dash;
\textvisiblespace,&blank;
\ldots,&hellip;
\nldr,&nldr;
\sfrac{1}{3},&frac13;
\sfrac{2}{3},&frac23;
\sfrac{1}{5},&frac15;
\sfrac{2}{5},&frac25;
\sfrac{3}{5},&frac35;
\sfrac{4}{5},&frac45;
\sfrac{1}{6},&frac16;
\sfrac{5}{6},&frac56;
\incare,&incare;
\block,&block;
\uhblk,&uhblk;
\lhblk,&lhblk;
\blocktwenty,&blk14;
\blockfifty,&blk12;
\blockeighty,&blk34;
\marker,&marker;
\circ,&cir;
\square,&squ;
\Rectangle,&rect;
\vartriangle,&utri;
\triangledown,&dtri;
\ding{73},&star;
\bullet,&bull;
\blacksquare,&squf;
\blacktriangle,&utrif;
\blacktriangledown,&dtrif;
\blacktriangleleft,&ltrif;
\blacktriangleright,&rtrif;
\ding{168},&clubs;
\ding{169},&diams;
\ding{170},&hearts;
\ding{171},&spades;
\maltese,&malt;
\dag,&dagger;
\ddag,&Dagger;
\checkmark,&check;
\ding{55},&cross;
\sharp,&sharp;
\flat,&flat;
\male,&male;
\female,&female;
\phone,&phone;
\recorder,&telrec;
\circledP,&copysr;
"\mathchar""1356",&caret;
",",&lsquor;
",,",&ldquor;
ff,&?ig;
fi,&filig;
fj,&fjlig;
ffi,&?lig;
ffl,&?lig;
fl,&fllig;
\mldr,&mldr;
'',&rdquor;
',&rsquor;
\vdots,&vellip;
\hybull,&hybull;
\lozenge,&loz;
\blacklozenge,&lozf;
\triangleleft,&ltri;
\triangleright,&rtri;
\bigstar,&starf;
\natural,&natur;
\Rx,&rx;
\ding{86},&sext;
"\mathchar""2208",&target;
\dlcrop,&dlcrop;
\drcrop,&drcrop;
\ulcrop,&ulcrop;
\urcrop,&urcrop;
\sfrac{1}{2},&half;
\sfrac{1}{2},&frac12;
\sfrac{1}{4},&frac14;
\sfrac{3}{4},&frac34;
\sfrac{1}{8},&frac18;
\sfrac{3}{8},&frac38;
\sfrac{5}{8},&frac58;
\sfrac{7}{8},&frac78;
^1,&sup1;
^2,&sup2;
^3,&sup3;
+,&plus;
\pm,&plusmn;
<,&lt;
>,&gt;
\div,&divide;
\times,&times;
\currency,&curren;
\pounds,&pound;
\$,&dollar;
\cent,&cent;
\yen,&yen;
\#,&num;
\%,&percnt;
\&,&amp;
\ast,&ast;
@,&commat;
[,&lsqb;
\backslash,&bsol;
],&rsqb;
\{,&lcub;
---,&horbar;
\vert,&verbar;
\},&rcub;
\mathrm{\mu},&micro;
\Omega,&ohm;
^\circ,&deg;
\ordm,&ordm;
\ordf,&ordf;
\S,&sect;
\P,&para;
\cdot,&middot;
\leftarrow,&larr;
\rightarrow,&rarr;
\uparrow,&uarr;
\downarrow,&darr;
\copyright,&copy;
\textregistered,&reg;
\texttrademark,&trade;
\brokenvert,&brvbar;
\lnot,&not;
\eighthnote,&sung;
!,&excl;
!',&iexcl;
"""",&quot;
',&apos;
(,&lpar;
),&rpar;
",",&comma;
\lowbar,&lowbar;
-,&hyphen;
/,&sol;
:,&colon;
;,&semi;
?,&quest;
?',&iquest;
\guillemotleft,&laquo;
\guillemotright,&raquo;
',&lsquo;
',&rsquo;
'',&ldquo;
'',&rdquo;
